,Year,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck,Population
0,2022,1068892.8945786953,3977.750577867031,17.95304925039636,4.730351893719671,10420724.320022583,2.589790554568191,25.248080095424957,Afghanistan,Asia,0.43691220065602204,41273333.57878113
1,2025,1043706.3314097263,-70941.41797197051,17.952349546578745,4.538854080791424,10897531.521846652,2.4203107342732797,25.270913594805744,Afghanistan,Asia,0.43815909062991926,43122823.719703436
2,2030,1116381.2621599324,-89952.46496290248,18.33693322341304,4.027600989282746,12128295.808326483,2.3515145683154794,25.546706352756342,Afghanistan,Asia,0.43815909062991926,47474988.12901926
3,2035,1189056.1929101385,-108963.51195383351,18.721516900247337,3.5163478977740965,13359060.094806254,2.2942726634086883,25.776179937581936,Afghanistan,Asia,0.43815909062991926,51827152.53833485
4,2040,1261731.1236603446,-127974.55894476548,19.106100577081634,3.005094806265447,14589824.381286085,2.245899722910583,25.970099271376434,Afghanistan,Asia,0.43815909062991926,56179316.94765067
5,2050,1407080.9851607569,-165996.65292662848,19.875267930750226,1.982588623248148,17051352.954245687,2.1686219517152514,26.279893419778702,Afghanistan,Asia,0.43815909062991926,64883645.76628208
6,2022,-19202.359646596014,-18344.46325647831,38.041803362015344,1.481483682560338,1854778.796754375,-0.6999653161423279,67.6104838539678,Albania,Europe,0.1441176417525011,2743330.1627607346
7,2025,-15295.917559769237,-12865.357790601905,38.57543281121184,1.2579142621599289,1914670.4979389906,-0.5492390413697501,68.75114125829653,Albania,Europe,0.2993544312282365,2784929.0395713076
8,2030,-19404.949711459223,-8182.738252267009,40.79101401483922,1.0178276999175466,2028083.423742786,-0.7136013191404836,74.58112636360808,Albania,Europe,0.2993544312282365,2719298.4641384967
9,2035,-23513.98186314921,-3500.1187139323447,43.0065952184666,0.7777411376751786,2141496.349546574,-0.8860936202012093,80.69948612111665,Albania,Europe,0.2993544312282365,2653667.8887056857
10,2040,-27623.014014839195,1182.5008244023193,45.22217642209398,0.5376545754327964,2254909.2753503695,-1.0673344573964691,87.12815938881398,Albania,Europe,0.2993544312282365,2588037.313272875
11,2050,-35841.078318219166,10547.739901071647,49.65333882934874,0.05748145094806034,2481735.126957953,-1.4588662519055304,101.01592342569165,Albania,Europe,0.2993544312282365,2456776.162407249
12,2022,803555.9719412029,-17861.88634857349,30.33436870215519,2.234125733270389,33573701.512485504,1.7879828121281578,74.70444292614582,Algeria,Africa,0.11196653440226377,44942041.19248581
13,2025,845353.576257214,-15602.832646331517,30.563066776586993,2.402159934047816,34612126.63973594,1.8348765347542655,75.12711931778796,Algeria,Africa,0.24518186033769004,46071414.62901902
14,2030,895840.8215169013,-12755.307914262172,32.33347073371817,2.1399175597691737,37729539.67023897,1.826353921208692,76.91934891453238,Algeria,Africa,0.24518186033769004,49050778.77370167
15,2035,946328.0667765886,-9907.783182192827,34.10387469084924,1.8776751854905172,40846952.70074177,1.818807356076305,78.50632423750064,Algeria,Africa,0.24518186033769004,52030142.91838431
16,2040,996815.3120362721,-7060.258450123714,35.874278647980304,1.6154328112118748,43964365.731244564,1.8120782483897728,79.92139555230075,Algeria,Africa,0.24518186033769004,55009507.06306696
17,2050,1097789.8025556467,-1365.2089859852567,39.415086562242436,1.0909480626545758,50199191.792250395,1.8005930403098862,82.33663234973022,Algeria,Africa,0.24518186033769004,60968235.35243225
18,2022,-546.2452838094905,0.0,0.0,0.0,51107.77972571552,-0.9502630963017024,88.9084783827657,American Samoa,Oceania,0.06988384384560457,57483.583855398
19,2025,-657.716405605941,0.0,0.0,0.0,50847.65292662819,-1.1474401725965502,88.70789773976823,American Samoa,Oceania,0.21489989640681584,57320.322341302555
20,2030,-948.0070074196265,0.0,0.0,0.0,51825.158285243204,-1.6342433182669132,89.33997110033432,American Samoa,Oceania,0.21489989640681584,58008.926628194604
21,2035,-1238.297609233312,0.0,0.0,0.0,52802.66364385822,-2.1096246978849353,89.9572142484902,American Samoa,Oceania,0.21489989640681584,58697.530915086594
22,2040,-1528.5882110469975,0.0,0.0,0.0,53780.16900247318,-2.5739816303049623,90.56014306969308,American Samoa,Oceania,0.21489989640681584,59386.135201978585
23,2050,-2109.1694146743685,0.0,0.0,0.0,55735.179719703214,-3.4711213761670554,91.72500434700403,American Samoa,Oceania,0.21489989640681584,60763.343775762565
24,2022,-670.4527300177142,0.0,0.0,0.0,71583.35493783653,-0.8132039737493044,86.82471721491466,Andorra,Europe,0.07287037996252314,82445.825605914
25,2025,-811.8672712283733,0.0,0.0,0.0,73051.00659521844,-0.9642846557297977,86.76537069760816,Andorra,Europe,0.14153820158739608,84193.73536685901
26,2030,-1241.0890354493167,0.0,0.0,0.0,75318.74402308324,-1.4169913912917018,85.99383995441859,Andorra,Europe,0.14153820158739608,87586.20857378421
27,2035,-1670.3107996702602,0.0,0.0,0.0,77586.48145094805,-1.8359364710254873,85.27984790762183,Andorra,Europe,0.14153820158739608,90978.68178070919
28,2040,-2099.5325638911745,0.0,0.0,0.0,79854.21887881286,-2.224760907256338,84.61718931942337,Andorra,Europe,0.14153820158739608,94371.15498763416
29,2050,-2957.9760923330614,0.0,0.0,0.0,84389.69373454247,-2.9241697251587273,83.4252136701112,Andorra,Europe,0.14153820158739608,101156.1014014841
30,2022,1111046.054929018,9542.24103486538,16.836380771153927,5.365413788555998,23086066.408592224,3.2354199408064988,67.22774387414059,Angola,Africa,0.07479649218660751,34340088.0026741
31,2025,1153088.0527617484,8813.305028854404,16.564303380049463,5.456694146743601,23978252.506183147,3.2533692769396274,67.65321159253686,Angola,Africa,0.10901556191243349,35442888.72877145
32,2030,1274193.9521846697,2981.7860676012933,16.62922506183017,5.182683429513588,26954040.228771687,3.2624742598308347,69.01371827580901,Angola,Africa,0.10901556191243349,39056061.464550495
33,2035,1395299.8516075835,-2849.732893651817,16.69414674361088,4.908672712283575,29929827.951360464,3.2700372475792108,70.14381324689748,Angola,Africa,0.10901556191243349,42669234.20032954
34,2040,1516405.7510305047,-8681.251854904927,16.75906842539159,4.634661995053577,32905615.673949003,3.2764193813944194,71.09745981745073,Angola,Africa,0.10901556191243349,46282406.93610883
